,game_size,match_mode,party_size,player_assists,player_dbno,player_dist_ride,player_dist_walk,player_dmg,player_kills,player_survive_time,team_placement
0,37,tpp,2,0,1,2870.724,1784.84778,117,1,1106.32,18
1,37,tpp,2,0,1,2938.4072300000007,1756.0797100000002,127,1,1106.315,18
2,37,tpp,2,0,0,0.0,224.157562,67,0,235.558,33
3,37,tpp,2,0,0,0.0,92.93515,0,0,197.553,33
4,37,tpp,2,0,0,2619.07739,2510.447,175,2,1537.495,11
5,37,tpp,2,0,0,2896.3125,2167.93213,65,0,1537.5,11
6,37,tpp,2,0,0,0.0,3118.58032,0,0,1264.792,17
7,37,tpp,2,0,0,0.0,3237.202,0,0,1264.795,17
8,37,tpp,2,0,0,0.0,1552.3147,79,0,868.56,24
9,37,tpp,2,0,1,0.0,1450.3147,101,1,868.555,24
10,37,tpp,2,0,1,2406.55469,3100.02124,54,1,1939.846,4
11,37,tpp,2,0,0,3135.38647,2456.27759,34,0,1939.851,4
12,37,tpp,2,0,0,0.0,55.2714539,0,0,160.64,34
13,37,tpp,2,0,1,0.0,129.4159,215,2,180.901,34
14,37,tpp,2,0,0,2418.547,2474.08887,75,1,2181.815,2
15,37,tpp,2,0,0,1277.58057,3286.67114,84,1,2181.82,2
16,37,tpp,2,0,0,0.0,2057.258,0,0,1583.1570000000004,3
17,37,tpp,2,0,4,0.0,3285.94385,673,6,2009.722,3
18,37,tpp,2,0,0,0.0,1522.11768,117,1,1032.648,20
19,37,tpp,2,0,1,0.0,1078.95581,100,1,513.487,20
20,37,tpp,2,1,1,5656.536,1871.58655,184,2,1880.073,5
21,37,tpp,2,2,0,4555.2159999999985,2559.02319,211,1,1880.069,5
22,37,tpp,2,1,1,0.0,2065.498,151,1,968.96,19
23,37,tpp,2,0,0,0.0,2076.4502,17,1,1049.804,19
24,37,tpp,2,0,0,0.0,444.7796,0,0,336.43300000000005,31
25,37,tpp,2,0,1,0.0,537.9968,124,1,292.827,31
26,37,tpp,2,0,0,0.0,578.5747,24,0,558.314,27
27,37,tpp,2,0,0,0.0,1497.04932,71,0,558.31,27
28,37,tpp,2,1,1,2319.07251,1772.9348100000002,144,1,1573.835,9
29,37,tpp,2,0,0,2306.78271,1956.62646,55,1,1573.84,9
30,37,tpp,2,0,0,2266.167,883.9554,1,0,1403.829,12
31,37,tpp,2,0,0,1539.77234,1518.98328,46,0,1403.8239999999996,12
32,37,tpp,2,1,2,586.986145,3760.31,218,3,1664.845,7
33,37,tpp,2,1,2,353.071,3646.13965,476,4,1750.095,7
34,37,tpp,2,0,0,0.0,2275.223,119,0,959.191,22
35,37,tpp,2,0,0,0.0,2199.581,24,0,959.196,22
36,37,tpp,2,0,0,0.0,0.0,0,0,801.852,35
37,37,tpp,2,0,0,0.0,0.0,0,0,800.87,35
38,37,tpp,2,0,0,528.386963,108.830986,20,0,305.771,32
39,37,tpp,2,0,0,551.524231,238.410522,61,0,305.773,32
40,37,tpp,2,0,0,0.0,2284.52344,0,0,1091.307,14
41,37,tpp,2,0,2,0.0,2594.24927,344,2,1349.412,14
42,37,tpp,2,0,1,3316.71,1669.84058,170,2,1822.552,6
43,37,tpp,2,0,0,3298.972,1350.44287,100,1,1750.842,6
44,37,tpp,2,0,0,0.0,413.8818,0,0,382.572,29
45,37,tpp,2,0,0,0.0,396.32312,43,0,401.705,29
46,37,tpp,2,0,0,1822.52844,2282.25879,10,1,1570.284,10
47,37,tpp,2,1,1,1780.6164600000004,2187.4970000000008,238,1,1570.2779999999998,10
48,37,tpp,2,0,0,0.0,102.174828,17,0,234.314,33
49,37,tpp,2,0,0,0.0,0.0,0,0,800.868,33
50,37,tpp,2,1,0,0.0,647.4725,100,1,373.905,30
51,37,tpp,2,0,1,0.0,548.989746,120,1,382.356,30
52,37,tpp,2,0,0,0.0,70.85792540000001,0,0,105.856,37
53,37,tpp,2,0,0,0.0,54.5513077,0,0,100.381,37
54,37,tpp,2,0,1,0.0,601.0081,200,2,1349.855,28
55,37,tpp,2,0,0,0.0,213.221527,0,0,179.296,28
56,37,tpp,2,0,0,3005.54443,1630.44812,0,0,1282.22,16
57,37,tpp,2,0,0,3625.72119,1413.61389,81,0,1282.225,16
58,37,tpp,2,0,1,0.0,113.825592,88,1,162.986,35
59,37,tpp,2,0,1,0.0,163.68061799999995,105,0,162.984,35
60,37,tpp,2,0,0,0.0,1.30789614,0,0,77.652,36
61,37,tpp,2,0,1,0.0,67.4803,196,2,122.27,36
62,37,tpp,2,0,0,390.6871,413.072937,0,0,885.8430000000002,28
63,37,tpp,2,0,0,416.560181,270.9108,0,0,307.915,28
64,37,tpp,2,0,3,0.0,2865.3147,526,5,1331.681,15
65,37,tpp,2,1,1,0.0,1655.58484,156,1,884.0939999999998,15
